timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673924761000,4000,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-150,text,false,,80,0,968,968,null,0,0,4000
1673924761775,3225,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-914,text,false,,80,0,968,968,null,0,0,3225
1673924761688,3313,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-793,text,false,,80,0,966,966,null,0,0,3313
1673924761740,3261,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-813,text,false,,80,0,966,966,null,0,0,3261
1673924761742,3260,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-810,text,false,,80,0,964,964,null,0,0,3260
1673924761738,3341,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-830,text,false,,80,0,962,962,null,0,0,3341
1673924761867,3213,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-938,text,false,,80,0,961,961,null,0,0,3213
1673924760868,4220,Select Statement,null 0,java.sql.SQLException: Error preloading the connection pool,RDCD 1-20,text,false,,36,0,960,960,null,0,0,4220
1673924761081,4009,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-232,text,false,,80,0,959,959,null,0,0,4009
1673924761491,3602,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-640,text,false,,80,0,958,958,null,0,0,3602
1673924761743,3359,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-806,text,false,,80,0,957,957,null,0,0,3359
1673924761739,3363,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-822,text,false,,80,0,956,956,null,0,0,3363
1673924761255,3850,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-407,text,false,,80,0,955,955,null,0,0,3850
1673924761303,3803,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-455,text,false,,80,0,954,954,null,0,0,3803
1673924761279,3833,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-431,text,false,,80,0,953,953,null,0,0,3833
1673924761414,3702,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-505,text,false,,80,0,952,952,null,0,0,3702
1673924761406,3718,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-536,text,false,,80,0,951,951,null,0,0,3718
1673924760910,4219,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-61,text,false,,80,0,950,950,null,0,0,4219
1673924761187,3966,Select Statement,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: sorry, too many clients already)",RDCD 1-338,text,false,,80,0,949,949,null,0,0,3966
